build,alg,op,run,us
generic,ML-DSA-87,keypair,4,116.866
generic,ML-DSA-87,keypair,5,117.435
generic,ML-DSA-87,sign,1,316.302
generic,ML-DSA-87,sign,2,313.591
generic,ML-DSA-87,sign,3,313.825
generic,ML-DSA-87,sign,4,314.977
generic,ML-DSA-87,sign,5,318.130
generic,ML-DSA-87,verify,1,123.065
generic,ML-DSA-87,verify,2,123.363
generic,ML-DSA-87,verify,3,122.339
generic,ML-DSA-87,verify,4,122.661
generic,ML-DSA-87,verify,5,123.556
a64,ML-KEM-512,keygen,1,12.515
a64,ML-KEM-512,keygen,2,12.062
a64,ML-KEM-512,keygen,3,12.048
a64,ML-KEM-512,keygen,4,12.105
a64,ML-KEM-512,keygen,5,12.080
a64,ML-KEM-512,encaps,1,13.078
a64,ML-KEM-512,encaps,2,13.922
a64,ML-KEM-512,encaps,3,12.852
a64,ML-KEM-512,encaps,4,12.792
a64,ML-KEM-512,encaps,5,12.762
a64,ML-KEM-512,decaps,1,15.475
a64,ML-KEM-512,decaps,2,16.337
a64,ML-KEM-512,decaps,3,15.314
a64,ML-KEM-512,decaps,4,15.274
a64,ML-KEM-512,decaps,5,15.189
a64,ML-KEM-768,keygen,1,14.606
a64,ML-KEM-768,keygen,2,14.592
a64,ML-KEM-768,keygen,3,14.676
a64,ML-KEM-768,keygen,4,14.524
a64,ML-KEM-768,keygen,5,14.644
a64,ML-KEM-768,encaps,1,15.764
a64,ML-KEM-768,encaps,2,15.737
a64,ML-KEM-768,encaps,3,15.782
a64,ML-KEM-768,encaps,4,15.713
a64,ML-KEM-768,encaps,5,15.637
a64,ML-KEM-768,decaps,1,18.932
a64,ML-KEM-768,decaps,2,19.714
a64,ML-KEM-768,decaps,3,18.908
a64,ML-KEM-768,decaps,4,18.789
a64,ML-KEM-768,decaps,5,18.724
a64,ML-KEM-1024,keygen,1,31.281
a64,ML-KEM-1024,keygen,2,31.261
a64,ML-KEM-1024,keygen,3,31.380
a64,ML-KEM-1024,keygen,4,31.248
a64,ML-KEM-1024,keygen,5,31.199
a64,ML-KEM-1024,encaps,1,29.685
a64,ML-KEM-1024,encaps,2,29.673
a64,ML-KEM-1024,encaps,3,30.642
a64,ML-KEM-1024,encaps,4,30.650
a64,ML-KEM-1024,encaps,5,29.383
a64,ML-KEM-1024,decaps,1,34.527
a64,ML-KEM-1024,decaps,2,34.512
a64,ML-KEM-1024,decaps,3,35.846
a64,ML-KEM-1024,decaps,4,35.554
a64,ML-KEM-1024,decaps,5,34.240
a64,ML-DSA-44,keypair,1,41.767
a64,ML-DSA-44,keypair,2,41.795
a64,ML-DSA-44,keypair,3,41.515
a64,ML-DSA-44,keypair,4,41.922
a64,ML-DSA-44,keypair,5,41.669
a64,ML-DSA-44,sign,1,162.622
a64,ML-DSA-44,sign,2,161.287
a64,ML-DSA-44,sign,3,161.008
a64,ML-DSA-44,sign,4,162.255
a64,ML-DSA-44,sign,5,162.177
a64,ML-DSA-44,verify,1,46.069
a64,ML-DSA-44,verify,2,46.164
a64,ML-DSA-44,verify,3,45.943
a64,ML-DSA-44,verify,4,46.186
a64,ML-DSA-44,verify,5,46.677
a64,ML-DSA-65,keypair,1,58.026
a64,ML-DSA-65,keypair,2,57.828
a64,ML-DSA-65,keypair,3,58.000
a64,ML-DSA-65,keypair,4,60.196
a64,ML-DSA-65,keypair,5,61.137
a64,ML-DSA-65,sign,1,134.067
a64,ML-DSA-65,sign,2,134.705
a64,ML-DSA-65,sign,3,135.175
a64,ML-DSA-65,sign,4,137.939
a64,ML-DSA-65,sign,5,143.342
a64,ML-DSA-65,verify,1,56.406
a64,ML-DSA-65,verify,2,56.580
a64,ML-DSA-65,verify,3,56.373
a64,ML-DSA-65,verify,4,57.003
a64,ML-DSA-65,verify,5,55.802
a64,ML-DSA-87,keypair,1,116.278
a64,ML-DSA-87,keypair,2,116.481
a64,ML-DSA-87,keypair,3,117.234
a64,ML-DSA-87,keypair,4,117.124
a64,ML-DSA-87,keypair,5,118.584
a64,ML-DSA-87,sign,1,314.451
a64,ML-DSA-87,sign,2,315.101
a64,ML-DSA-87,sign,3,315.675
a64,ML-DSA-87,sign,4,316.469
a64,ML-DSA-87,sign,5,316.479
a64,ML-DSA-87,verify,1,123.218
a64,ML-DSA-87,verify,2,122.952
a64,ML-DSA-87,verify,3,123.868
a64,ML-DSA-87,verify,4,128.395
a64,ML-DSA-87,verify,5,123.081
