ts_s,policy0_khz,policy3_khz,policy7_khz,x3_active,x3_paused
1784827903.333300617,1017600,2803200,3360000,1,0
1784827903.483926450,1017600,2592000,3360000,1,0
1784827903.634940148,1017600,2803200,3360000,1,0
1784827903.785649367,1017600,2054400,3360000,1,0
1784827903.938200408,1017600,2803200,3360000,1,0
1784827904.088144523,1017600,2054400,3360000,1,0
1784827904.246173169,1017600,2803200,3360000,1,0
1784827904.398426919,1017600,2803200,3360000,1,0
1784827904.548704418,1017600,2803200,3360000,1,0
1784827904.699518168,1017600,2054400,3360000,1,0
1784827904.855077491,1017600,2707200,3360000,1,0
1784827905.004881450,1017600,2803200,3360000,1,0
1784827905.154703533,1017600,2803200,3360000,1,0
1784827905.305370512,1017600,2803200,3360000,1,0
1784827905.456493376,1017600,2054400,3360000,1,0
1784827905.608229314,1017600,2803200,3360000,1,0
1784827905.760410981,1017600,1920000,3360000,1,0
1784827905.912088012,1017600,2054400,3360000,1,0
1784827906.063425251,1017600,2592000,3360000,1,0
1784827906.216789887,1017600,2054400,3360000,1,0
1784827906.369109522,1017600,2803200,3360000,1,0
1784827906.520295355,1017600,2054400,3360000,1,0
1784827906.672685876,1017600,2803200,3360000,1,0
1784827906.822960772,1017600,2803200,3360000,1,0
1784827906.973608272,1017600,2803200,3360000,1,0
1784827907.125052022,1017600,2803200,3360000,1,0
1784827907.279845459,1017600,2457600,3360000,1,0
1784827907.431192282,1017600,2707200,3360000,1,0
1784827907.581316501,1017600,2803200,3360000,1,0
1784827907.731586553,1017600,2457600,3360000,1,0
1784827907.883021188,1017600,2803200,3360000,1,0
1784827908.033882178,1017600,2803200,3360000,1,0
1784827908.195070980,1017600,2803200,864000,1,0
1784827908.359207230,1017600,2592000,864000,0,1
1784827908.521755459,1017600,2054400,864000,0,1
1784827908.686054990,1017600,2803200,864000,0,1
1784827908.849144417,2016000,2457600,864000,0,1
1784827909.009702177,1017600,2323200,864000,0,1
1784827909.171389521,1017600,2803200,864000,0,1
1784827909.337657125,1017600,1920000,864000,0,1
1784827909.502390458,1017600,2803200,864000,0,1
1784827909.662175875,1017600,2803200,864000,0,1
1784827909.826157594,1344000,1920000,864000,0,1
1784827909.992111760,1017600,2803200,864000,0,1
1784827910.151693479,1017600,2707200,864000,0,1
1784827910.314517020,1017600,2188800,864000,0,1
1784827910.477691187,1017600,2803200,864000,0,1
1784827910.641330927,1017600,2054400,864000,0,1
1784827910.804960927,1017600,2803200,864000,0,1
1784827910.969953010,1017600,2188800,864000,0,1
1784827911.130565145,1017600,2803200,864000,0,1
1784827911.295165874,1017600,2707200,864000,0,1
1784827911.452397853,1017600,2803200,864000,0,1
1784827911.614539312,1017600,2803200,864000,0,1
1784827911.772845353,1017600,2803200,864000,0,1
1784827911.937474364,1017600,2054400,864000,0,1
1784827912.102018947,1017600,2803200,864000,0,1
1784827912.264722176,1017600,2323200,864000,0,1
1784827912.431357488,1017600,2803200,864000,0,1
1784827912.589923582,1017600,2803200,864000,0,1
1784827912.753621082,1017600,1920000,864000,0,1
1784827912.919276186,1017600,2803200,864000,0,1
1784827913.082110353,1017600,2803200,864000,0,1
1784827913.250408634,1017600,2803200,864000,0,1
1784827913.418287540,1017600,2457600,864000,0,1
1784827913.580714207,1017600,2803200,864000,0,1
1784827913.744952905,1017600,2457600,864000,0,1
1784827913.906836915,1017600,2323200,864000,0,1
1784827914.069649207,1017600,2803200,864000,0,1
1784827914.233107279,1017600,2188800,864000,0,1
1784827914.401734102,1017600,1920000,864000,0,1
1784827914.566195508,1017600,2803200,864000,0,1
1784827914.723898008,1017600,2803200,864000,0,1
1784827914.886150769,1017600,2803200,864000,0,1
1784827915.044427331,1017600,2803200,864000,0,1
1784827915.209565560,1017600,2188800,864000,0,1
1784827915.370990456,1017600,2803200,864000,0,1
1784827915.536871029,1017600,2803200,864000,0,1
1784827915.697750925,1017600,2803200,864000,0,1
1784827915.858272227,1017600,2457600,864000,0,1
1784827916.021690508,1017600,2803200,864000,0,1
1784827916.185177279,1017600,2803200,864000,0,1
1784827916.347026654,1017600,2803200,864000,0,1
1784827916.514377956,1017600,2188800,864000,0,1
1784827916.677404935,1017600,2803200,864000,0,1
1784827916.841095143,1017600,2323200,864000,0,1
1784827917.006326705,1017600,2803200,864000,0,1
1784827917.166448893,1017600,2803200,864000,0,1
1784827917.323735612,1017600,2803200,864000,0,1
1784827917.489226080,1017600,2323200,864000,0,1
1784827917.657674466,1017600,2188800,864000,0,1
1784827917.820509570,1017600,2803200,864000,0,1
1784827917.984417070,1017600,1785600,864000,0,1
1784827918.150774153,2016000,2803200,864000,0,1
1784827918.310864309,1017600,2592000,864000,0,1
1784827918.469271497,1017600,2803200,864000,0,1
1784827918.629001653,1017600,2803200,864000,0,1
1784827918.792818215,1017600,2803200,864000,0,1
1784827918.951093267,1017600,2803200,864000,0,1
1784827919.109717746,1017600,2803200,864000,0,1
1784827919.268563475,1017600,2803200,864000,0,1
1784827919.433197434,1017600,2457600,864000,0,1
1784827919.596667694,1017600,2803200,864000,0,1
1784827919.758770663,1017600,2803200,864000,0,1
1784827919.920534933,1017600,2803200,864000,0,1
1784827920.083635506,1017600,2803200,864000,0,1
1784827920.240164256,1017600,2592000,864000,0,1
1784827920.396280350,1017600,2803200,864000,0,1
1784827920.560217225,1017600,1651200,864000,0,1
1784827920.729299152,1017600,1920000,864000,0,1
1784827920.892811235,1017600,2803200,864000,0,1
1784827921.053221756,1017600,2803200,864000,0,1
1784827921.214586912,1017600,2707200,864000,0,1
1784827921.374292381,1017600,2803200,864000,0,1
1784827921.531745506,1017600,2803200,864000,0,1
1784827921.693991599,1017600,2803200,864000,0,1
1784827921.857562172,1017600,2054400,864000,0,1
1784827922.021767537,1017600,2803200,864000,0,1
1784827922.185538162,1017600,2054400,864000,0,1
1784827922.348122068,1017600,2803200,864000,0,1
1784827922.513228214,1017600,2803200,864000,0,1
1784827922.674764151,1017600,2323200,864000,0,1
1784827922.837485557,1017600,2803200,864000,0,1
1784827922.998593943,1017600,2803200,864000,0,1
1784827923.158396963,1017600,2803200,864000,0,1
1784827923.321390401,1017600,2054400,864000,0,1
1784827923.487083838,1017600,2803200,864000,0,1
1784827923.646278317,1017600,2803200,864000,0,1
1784827923.809435609,1017600,2188800,864000,0,1
1784827923.974204151,1017600,2803200,864000,0,1
1784827924.133236755,1017600,2803200,864000,0,1
1784827924.297222171,1017600,2803200,864000,0,1
1784827924.463718369,1017600,2707200,864000,0,1
1784827924.621918994,1017600,2803200,864000,0,1
1784827924.782050921,1017600,2803200,864000,0,1
1784827924.939935973,1017600,2803200,864000,0,1
1784827925.101145452,1017600,2803200,864000,0,1
1784827925.264122484,1017600,2803200,864000,0,1
1784827925.422546702,1017600,2803200,864000,0,1
1784827925.589908213,1017600,2803200,864000,0,1
1784827925.749896181,1017600,2803200,864000,0,1
1784827925.913214671,1017600,2323200,864000,0,1
1784827926.081660817,1017600,1920000,864000,0,1
1784827926.244998629,1017600,2803200,864000,0,1
1784827926.406474931,1017600,2803200,864000,0,1
1784827926.566117639,1017600,2803200,864000,0,1
1784827926.727436493,1017600,2707200,864000,0,1
1784827926.884561545,1017600,2054400,864000,1,0
1784827927.056182587,1228800,1651200,1132800,0,1
1784827927.219244670,2016000,2803200,1132800,1,0
1784827927.389352899,902400,2803200,1132800,0,1
1784827927.554825608,672000,2803200,864000,0,1
1784827927.723943733,1555200,2803200,864000,0,1
1784827927.883369878,1017600,1785600,864000,0,1
1784827928.057992066,1017600,2188800,864000,0,1
1784827928.220742170,1228800,2803200,864000,0,1
1784827928.382257118,1017600,2803200,864000,0,1
1784827928.542660399,1017600,2707200,864000,0,1
1784827928.705859930,1017600,2188800,864000,0,1
1784827928.873447013,1017600,2054400,864000,0,1
1784827929.039526492,1017600,2803200,864000,0,1
1784827929.201277378,1017600,2457600,864000,0,1
1784827929.369025919,1017600,2803200,864000,0,1
1784827929.533843732,1017600,2803200,864000,0,1
1784827929.696680138,1017600,1785600,864000,0,1
1784827929.865911232,1017600,2054400,864000,0,1
1784827930.031002482,1017600,2707200,864000,0,1
1784827930.191993055,2016000,1920000,864000,0,1
1784827930.362267325,1017600,2323200,864000,0,1
1784827930.529496700,1017600,2054400,864000,0,1
1784827930.693421544,1017600,2803200,864000,0,1
1784827930.854333783,1017600,2803200,864000,0,1
1784827931.017298210,1017600,2188800,864000,0,1
1784827931.184266752,1017600,2457600,864000,0,1
1784827931.345812117,2016000,1401600,864000,0,1
1784827931.515621335,2016000,2323200,864000,0,1
1784827931.682355137,1017600,2457600,864000,0,1
1784827931.846450971,1017600,2457600,864000,0,1
1784827932.009753002,1017600,2323200,864000,0,1
1784827932.177442585,1017600,2188800,864000,0,1
1784827932.339297220,1017600,2803200,864000,0,1
1784827932.512155866,1017600,2803200,864000,0,1
1784827932.672629043,1017600,2803200,864000,0,1
1784827932.834080918,1017600,2054400,864000,0,1
1784827932.998026647,1017600,2803200,864000,0,1
1784827933.158276230,1017600,2803200,864000,0,1
1784827933.320242012,1017600,2592000,864000,0,1
1784827933.473989355,1017600,2803200,864000,0,1
1784827933.637591699,1017600,2803200,864000,0,1
1784827933.798460970,1017600,2803200,864000,0,1
1784827933.958676178,1017600,2803200,864000,0,1
1784827934.121584095,1017600,2188800,864000,0,1
1784827934.288038522,1017600,2457600,864000,0,1
1784827934.448174563,1017600,2803200,864000,0,1
1784827934.609704615,1017600,2188800,864000,0,1
1784827934.772164147,1017600,2803200,864000,0,1
1784827934.936493417,1017600,2803200,864000,0,1
1784827935.097540084,1017600,2803200,864000,0,1
1784827935.254183834,1017600,2803200,864000,0,1
1784827935.414839407,1017600,2803200,1132800,0,1
1784827935.577384250,902400,2803200,2227200,1,0
1784827935.749408990,902400,2803200,2227200,0,1
1784827935.917410865,902400,2803200,2227200,0,1
1784827936.106459615,2016000,1286400,1248000,1,0
1784827936.475538156,2016000,1286400,1248000,1,0
1784827936.768301229,2016000,1286400,1248000,0,1
1784827937.021522635,2016000,1286400,1248000,0,1
1784827937.281335864,2016000,1286400,1248000,1,0
1784827937.606012323,2016000,614400,864000,0,1
1784827937.886911854,2016000,614400,864000,0,1
1784827938.149957999,2016000,614400,864000,0,1
1784827938.393784041,2016000,614400,864000,0,1
1784827938.646561905,2016000,614400,864000,0,1
1784827938.903194457,2016000,614400,864000,0,1
1784827939.156727426,2016000,614400,864000,0,1
1784827939.405019926,2016000,614400,864000,0,1
1784827939.661959405,2016000,614400,864000,0,1
1784827939.914857426,2016000,614400,864000,0,1
1784827940.163240342,2016000,614400,864000,0,1
1784827940.426741436,2016000,614400,864000,0,1
1784827940.689748936,2016000,614400,864000,0,1
1784827940.957167009,2016000,2803200,3360000,1,0
1784827941.238727477,2016000,1286400,1248000,1,0
1784827941.514005342,2016000,1286400,1248000,1,0
1784827941.788351175,2016000,1286400,1248000,1,0
1784827942.085265394,2016000,1286400,1248000,1,0
1784827942.367552164,2016000,2323200,1248000,1,0
1784827942.646110966,2016000,1286400,1248000,1,0
1784827942.945387685,2016000,1286400,1248000,1,0
1784827943.233494872,2016000,1286400,1248000,1,0
1784827943.525467581,2016000,1286400,1248000,1,0
1784827943.793499351,2016000,2803200,1248000,1,0
1784827944.085271435,2016000,1286400,1248000,1,0
1784827944.376708101,2016000,1286400,1248000,1,0
1784827944.672828934,2016000,1286400,1248000,1,0
1784827944.957246382,2016000,1286400,1248000,1,0
1784827945.238579507,2016000,1286400,1248000,1,0
1784827945.513749090,2016000,1286400,998400,1,0
1784827945.816913778,2016000,1056000,998400,0,1
1784827946.091036330,2016000,729600,864000,0,1
1784827946.375502111,2016000,1056000,998400,0,1
1784827946.661596017,2016000,1651200,1248000,1,0
1784827946.964914663,2016000,1286400,1248000,1,0
1784827947.255533673,2016000,1286400,1248000,1,0
1784827947.543375965,2016000,1286400,1248000,1,0
1784827947.840182787,2016000,1286400,1248000,1,0
1784827948.141670600,2016000,1286400,1248000,1,0
1784827948.439552006,2016000,1286400,1248000,1,0
1784827948.725553360,2016000,1286400,1248000,1,0
1784827949.017425339,2016000,1651200,1248000,1,0
1784827949.303391641,2016000,1286400,1248000,1,0
1784827949.592835860,2016000,1286400,1248000,1,0
1784827949.886181276,2016000,1286400,1248000,1,0
1784827950.188973724,2016000,1286400,1248000,1,0
1784827950.479527161,2016000,1286400,1248000,1,0
1784827950.777491640,2016000,1286400,1248000,1,0
1784827951.073670390,2016000,1286400,1248000,1,0
1784827951.359650078,2016000,1286400,1248000,1,0
1784827951.643300338,2016000,1286400,1248000,1,0
1784827951.919653932,2016000,1286400,1248000,1,0
1784827952.208692838,2016000,1286400,1248000,1,0
1784827952.486837213,2016000,1171200,1132800,0,0
1784827952.781743983,2016000,1286400,1248000,1,0
1784827953.080783723,2016000,1286400,1248000,1,0
1784827953.358468671,2016000,1286400,1248000,1,0
1784827953.631064869,2016000,1286400,1248000,1,0
1784827953.928390337,2016000,1286400,1248000,1,0
1784827954.205010650,2016000,1171200,1132800,0,1
1784827954.497648514,2016000,1651200,998400,0,1
1784827954.782394920,2016000,1056000,998400,0,1
1784827955.043027420,2016000,614400,864000,0,1
1784827955.321747732,2016000,1651200,998400,0,1
1784827955.621918514,2016000,1056000,998400,0,1
1784827955.903380753,2016000,1056000,998400,0,1
1784827956.165824659,2016000,1171200,1132800,0,0
1784827956.449718149,2016000,1056000,998400,0,1
1784827956.746489815,2016000,1056000,998400,0,1
1784827957.038814346,2016000,1056000,998400,0,1
1784827957.330291325,2016000,1056000,998400,0,1
1784827957.631694294,2016000,1056000,998400,0,1
1784827957.911670440,2016000,1056000,998400,0,1
1784827958.180760440,2016000,1056000,998400,0,1
1784827958.465831794,2016000,1056000,998400,0,1
1784827958.764048252,2016000,1056000,998400,0,1
1784827959.038919658,2016000,1056000,998400,0,1
1784827959.306046533,2016000,614400,864000,0,1
1784827959.592167158,2016000,614400,864000,0,1
1784827959.884735387,2016000,614400,864000,0,1
1784827960.153327262,2016000,614400,864000,0,1
1784827960.414254241,2016000,614400,864000,0,1
1784827960.667154189,2016000,614400,864000,0,1
1784827960.923235855,2016000,614400,864000,0,1
1784827961.175770491,2016000,614400,864000,0,1
1784827961.434910022,2016000,614400,864000,0,1
1784827961.692462834,2016000,614400,864000,0,1
1784827961.949303251,2016000,614400,864000,0,1
1784827962.203219501,2016000,614400,864000,0,1
1784827962.460281167,2016000,614400,864000,0,1
1784827962.715174188,2016000,614400,864000,0,1
1784827962.988254969,2016000,1286400,1248000,1,0
1784827963.279349761,2016000,1286400,1248000,1,0
1784827963.572234917,2016000,1286400,1248000,1,0
1784827963.824778979,2016000,1286400,1248000,1,0
1784827964.096629708,2016000,1286400,1248000,1,0
1784827964.373918667,2016000,614400,864000,0,1
1784827964.637715802,2016000,614400,864000,0,1
1784827964.897735802,2016000,614400,864000,0,1
1784827965.165702052,2016000,614400,864000,0,1
1784827965.411552156,2016000,614400,864000,0,1
1784827965.669418822,2016000,614400,864000,0,1
1784827965.922123822,2016000,614400,864000,0,1
1784827966.186373562,2016000,1171200,1132800,0,1
1784827966.481391791,2016000,1286400,1248000,1,0
1784827966.777433197,2016000,1286400,1248000,1,0
1784827967.072557051,2016000,1286400,1248000,1,0
1784827967.330538353,2016000,1286400,1248000,1,0
1784827967.606435228,2016000,614400,864000,1,0
1784827967.870490176,2016000,2803200,1248000,1,0
1784827968.144509030,2016000,2592000,1248000,0,1
1784827968.436322988,2016000,1286400,1248000,0,1
1784827968.722995540,2016000,1286400,1248000,1,0
1784827969.026021217,2016000,1286400,1248000,1,0
1784827969.309250331,2016000,1286400,1248000,1,0
1784827969.574537310,2016000,1651200,1248000,1,0
1784827969.862572883,2016000,1785600,1248000,1,0
1784827970.145156008,2016000,1286400,1248000,0,1
1784827970.425063612,2016000,1286400,1248000,0,1
1784827970.707968664,2016000,1286400,1248000,1,0
1784827970.978441216,2016000,1286400,1248000,0,1
1784827971.252073299,2016000,1286400,1248000,0,1
1784827971.546286060,2016000,1056000,998400,0,1
1784827971.813351424,2016000,2803200,3360000,1,0
1784827973.070365226,2016000,2803200,3187200,1,0
1784827973.255353455,902400,2803200,2092800,0,0
1784827973.417542517,2016000,2592000,2092800,1,0
1784827973.582382257,902400,2803200,1248000,0,1
1784827973.742742830,902400,2803200,1248000,0,1
1784827973.905251059,902400,2707200,864000,0,1
1784827974.083492517,672000,2188800,864000,0,1
1784827974.250512517,672000,1920000,864000,0,1
1784827974.412471006,787200,2803200,864000,0,1
1784827974.571334548,1017600,2803200,864000,0,1
1784827974.735614183,672000,2803200,864000,0,1
